sgRNA	condition	time	group	reference_group	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	fitness
WT	LD_N2	10.8	10	5	9756.016562414741	0.29312176620258296	1.0376666119373614	0.28248163989329284	0.7775742228195442	0.7775742228195442	-0.2974096805826703
mut1	HL_5N2	0	26	26	NA	0	0	NA	1	1	2.3748006279264624
mut1	HL_5N2	2.2	27	26	9062.29795425932	0.027462836276386793	0.7933782018049655	0.03461506279591221	0.972386690323789	0.9991336400486256	2.3748006279264624
mut1	HL_5N2	4.1	28	26	9062.29795425932	0.5132759652619633	0.7932457387292502	0.6470579546814988	0.5175944357568012	0.7086126847305967	2.3748006279264624
mut1	HL_5N2	5.2	29	26	9062.29795425932	0.624904225485361	0.7932496283859584	0.787777520623447	0.43082685211916666	0.6962825054916311	2.3748006279264624
mut1	HL_5N2	7.3	30	26	9062.29795425932	1.2690836017611342	0.7936328515402074	1.5990814887491327	0.1098024972406969	0.25097713655016435	2.3748006279264624
mut1	HL_5N2	8.8	31	26	9062.29795425932	2.053645653675295	0.7932694532659716	2.5888374312413336	0.009630054591591344	0.022011553352208786	2.3748006279264624
mut1	HL_5N2	10.01	32	26	9062.29795425932	2.943723407452466	0.7932401064377572	3.7110118154161302	2.0643246716152105e-4	5.504865790973894e-4	2.3748006279264624
mut1	HL_5N2	11.6	33	26	9062.29795425932	3.471108181891632	0.7932760556451309	4.375662365188568	1.2106428608696798e-5	3.874057154782976e-5	2.3748006279264624
mut1	LD_N2	0	5	5	NA	0	0	NA	1	1	0.0949481435945861
mut1	LD_N2	3.4	6	5	9062.29795425932	-0.10237873331452782	0.9160272546771293	-0.11176385068434791	0.9110106508676312	0.9429977712811921	0.0949481435945861
mut1	LD_N2	5.8	7	5	9062.29795425932	-0.24129085223478142	0.9159793265619287	-0.2634239062364558	0.7922238665870486	0.9053987046709127	0.0949481435945861
mut1	LD_N2	7.4	8	5	9062.29795425932	-0.006323417126240832	0.9165741667659025	-0.006898969396609519	0.9944954624984866	0.9944954624984866	0.0949481435945861
mut1	LD_N2	9.5	9	5	9062.29795425932	0.4895364573897486	0.9164065933520574	0.534191330508774	0.5932091666010838	0.7164511567545022	0.0949481435945861
